frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
74,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
75,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
76,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
77,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
78,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
79,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
80,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
81,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
82,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
83,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
84,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
85,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
86,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
87,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
88,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
89,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
90,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
91,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
92,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
93,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
94,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
